,x,y,z,w,v
0,3.2651421849004314,2.888950518567667,0.5004019157267305,6.154092703468098,6.029882454074132
1,2.9039490052295482,2.825496547170939,1.2539700070345265,5.729445552400487,4.55392800342457
2,2.9345015145761484,2.443951098176978,0.573518004953014,5.378452612753126,5.295485024199283
3,2.9407978382898006,2.217169199034511,1.4569073104101244,5.157967037324312,4.424688366169477
4,5.187940123565002,1.01270758417553,5.201537807069807,6.200647707740532,5.174342440060197
5,2.8114096765065635,3.124089138520289,0.32376327389742887,5.935498815026852,5.299056079115698
6,-0.2853191273195663,5.011717566569896,2.3285790844060603,4.72639843925033,-2.899217339045193
7,0.7666075743073639,5.10488274914114,3.1129697141122272,5.871490323448504,-1.5797545654974994
8,4.915133786135781,2.0989331532815942,5.040306758669607,7.014066939417376,4.789960813601955
9,4.898316508871674,1.2428188791814687,4.752166262367038,6.141135388053143,5.04446675537631
10,6.980153702532959,0.9395017733776667,4.922822241147841,7.919655475910626,9.037485163918078
11,3.419483809334347,1.8699122979407345,4.947459606267077,5.289396107275081,1.8915080124016175
12,5.173529002089231,1.1717056654043876,5.05413624895623,6.345234667493619,5.292921755222233
13,3.4150765254137188,2.5581752023863547,0.5251399170538664,5.973251727800074,6.305013133773571
14,3.0541202625333814,2.3276696933826115,1.0777316470216038,5.381789955915993,5.0305088780451594
15,0.010775413295345704,5.007662176046751,4.344345787427824,5.018437589342097,-4.3227949608371325
16,3.414315903295494,0.8165856657973312,4.751681645284417,4.2309015690928256,2.0769501613065717
17,1.9674649057499438,4.746278623049758,2.9522672424252625,6.713743528799702,0.9826625690746251
18,2.787815900399028,1.0183122132865836,0.9352879627128864,3.8061281136856113,4.64034383808517
19,3.069693990608557,2.856319978849435,0.6607923952967106,5.926013969457992,5.478595585920403
20,4.899392473685373,-0.24441014291547236,5.045715593394546,4.654982330769901,4.7530693539762
21,3.4099806755439097,4.6608554924673875,0.957745980198283,8.070836168011297,5.862215370889537
22,5.48096002176663,0.8252413407440009,4.967236701952841,6.306201362510631,5.994683341580418
23,3.0381894058926946,3.0544414021475412,1.2379309789005348,6.092630808040235,4.838447832884855
24,4.448866786497851,1.13482239929776,5.183362953065976,5.583689185795611,3.714370619929725
25,3.1217350135627138,3.063366499275136,0.9241227680838237,6.18510151283785,5.319347259041604
26,0.6391848813584696,5.058458761390124,3.233664067522809,5.697643642748594,-1.95529430480587
27,2.8596376776996304,4.081778172694744,0.01710771888374929,6.941415850394375,5.702167636515512
28,4.6867354392967595,1.323094793466462,4.9388744600328165,6.009830232763221,4.4345964185607025
29,2.633119516292652,2.9081878857464516,0.6449154285301799,5.541307402039104,4.621323604055124
30,1.1147004370022064,4.894288608256259,3.9478601590763023,6.008989045258465,-1.7184592850718894
31,6.642583989913398,1.4342679290154712,4.690520097570122,8.076851918928869,8.594647882256673
32,1.2831752402502665,4.628906021467968,2.7020999762424154,5.912081261718234,-0.13574949574188233
33,2.3567280116228595,5.478395958878568,3.2777021128186146,7.835123970501427,1.4357539104271044
34,3.4994090261267057,2.3659348734136962,1.4344316480229193,5.865343899540402,5.564386404230492
